                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0616,                0.47802,                 1.1052,                 1.1553,                 0.4305,                 1.0896,                0.97783,                0.95878,                0.98127,                0.70125,                 1.0596,                0.37107,                 1.1017,                 1.0916,                0.33045,                 1.0858,               0.007822,               0.007822,               0.007822
                     25,                 1.0626,                0.47541,                 1.0994,                 1.1587,                0.42807,                 1.0875,                0.98213,                0.95602,                0.98243,                0.70178,                 1.0578,                0.37171,                 1.0987,                   1.09,                0.33246,                 1.0838,               0.007723,               0.007723,               0.007723
                     26,                 1.0609,                0.47638,                 1.1018,                 1.1567,                0.43467,                 1.0891,                0.97985,                 0.9516,                0.98243,                0.70003,                 1.0653,                 0.3713,                 1.1002,                  1.094,                0.33446,                 1.0815,               0.007624,               0.007624,               0.007624
                     27,                  1.056,                0.47008,                 1.1031,                 1.1525,                0.43004,                 1.0859,                 0.9771,                 0.9509,                0.97995,                0.69684,                  1.066,                0.36581,                 1.1012,                 1.0962,                0.33585,                 1.0854,               0.007525,               0.007525,               0.007525
                     28,                 1.0556,                0.47107,                 1.1002,                 1.1449,                0.43338,                 1.0844,                0.96758,                0.95694,                0.98366,                0.70036,                 1.0621,                0.36874,                 1.0974,                 1.0938,                 0.3352,                 1.0806,               0.007426,               0.007426,               0.007426
                     29,                 1.0548,                0.46932,                 1.0937,                  1.147,                0.44012,                 1.0844,                0.97649,                0.94803,                0.98122,                0.70117,                 1.0595,                0.36411,                 1.0971,                 1.0848,                0.34019,                 1.0862,               0.007327,               0.007327,               0.007327
                     30,                 1.0475,                0.46369,                 1.0935,                 1.1382,                0.43195,                 1.0843,                 0.9707,                 0.9587,                0.98323,                0.70149,                 1.0611,                0.35913,                 1.0976,                 1.0885,                0.33508,                 1.0846,               0.007228,               0.007228,               0.007228
                     31,                 1.0446,                0.46066,                 1.0935,                  1.134,                0.41983,                 1.0814,                0.97898,                0.95761,                0.98554,                0.70326,                 1.0626,                0.35888,                 1.0973,                 1.0905,                0.32475,                 1.0856,               0.007129,               0.007129,               0.007129
                     32,                 1.0437,                0.45967,                 1.0925,                 1.1349,                0.41821,                 1.0801,                0.97665,                0.95462,                0.98437,                0.70405,                 1.0601,                0.35368,                 1.0975,                 1.0839,                0.33159,                 1.0837,                0.00703,                0.00703,                0.00703
                     33,                 1.0423,                0.45789,                 1.0885,                 1.1293,                0.41089,                  1.078,                0.97739,                0.95707,                0.98419,                0.70335,                 1.0592,                0.35306,                 1.0947,                 1.0842,                0.32837,                 1.0826,               0.006931,               0.006931,               0.006931
                     34,                 1.0404,                0.45527,                 1.0919,                  1.129,                0.40366,                 1.0768,                 0.9823,                 0.9538,                0.98305,                  0.701,                 1.0654,                0.35346,                 1.0986,                 1.0905,                0.32341,                 1.0821,               0.006832,               0.006832,               0.006832
                     35,                 1.0355,                0.45339,                 1.0858,                 1.1245,                0.40564,                 1.0744,                0.98772,                0.95815,                0.98645,                0.70605,                 1.0624,                0.35175,                 1.0969,                 1.0865,                0.31371,                 1.0799,               0.006733,               0.006733,               0.006733
                     36,                 1.0333,                0.45069,                 1.0867,                 1.1171,                0.41009,                 1.0707,                0.98054,                0.95848,                0.98485,                0.70724,                 1.0592,                0.34937,                 1.0948,                 1.0845,                0.31616,                 1.0773,               0.006634,               0.006634,               0.006634
                     37,                 1.0307,                0.44834,                 1.0855,                 1.1141,                0.40076,                 1.0715,                0.97758,                0.96033,                0.98616,                0.70474,                 1.0611,                0.35112,                 1.0943,                 1.0867,                0.32106,                 1.0789,               0.006535,               0.006535,               0.006535
                     38,                  1.034,                0.45227,                 1.0845,                 1.1213,                0.40725,                 1.0723,                0.97957,                0.95924,                0.98511,                 0.7057,                 1.0637,                 0.3494,                 1.0955,                  1.088,                0.32419,                 1.0807,               0.006436,               0.006436,               0.006436
                     39,                 1.0261,                0.44697,                 1.0803,                  1.113,                0.40639,                 1.0678,                0.98057,                0.95997,                0.98556,                 0.7051,                 1.0631,                0.34871,                  1.095,                 1.0911,                0.31876,                 1.0791,               0.006337,               0.006337,               0.006337
                     40,                 1.0284,                0.44547,                 1.0841,                 1.1106,                0.39603,                 1.0704,                0.97904,                0.96141,                0.98593,                0.70572,                 1.0604,                0.34849,                 1.0928,                 1.0891,                0.31763,                  1.076,               0.006238,               0.006238,               0.006238
                     41,                 1.0195,                0.44189,                 1.0782,                  1.101,                0.39484,                 1.0638,                0.97783,                0.95867,                0.98424,                0.70625,                 1.0592,                0.34536,                 1.0935,                 1.0872,                0.31916,                 1.0782,               0.006139,               0.006139,               0.006139
                     42,                 1.0196,                0.43891,                 1.0767,                 1.1026,                0.39699,                 1.0648,                0.97561,                0.96141,                0.98425,                 0.7061,                 1.0609,                0.34403,                 1.0947,                 1.0862,                0.31775,                 1.0774,                0.00604,                0.00604,                0.00604
                     43,                 1.0204,                0.43655,                 1.0731,                 1.1002,                0.38987,                 1.0615,                0.97326,                0.96413,                0.98467,                0.70699,                 1.0583,                 0.3434,                 1.0926,                 1.0827,                0.31971,                 1.0763,               0.005941,               0.005941,               0.005941
                     44,                 1.0169,                0.43716,                  1.074,                 1.0985,                0.39044,                 1.0616,                0.97435,                0.96413,                0.98472,                0.70639,                 1.0556,                 0.3419,                 1.0917,                 1.0802,                0.31862,                 1.0737,               0.005842,               0.005842,               0.005842
                     45,                 1.0166,                0.43402,                 1.0715,                 1.0959,                0.38413,                 1.0567,                0.97737,                0.96467,                0.98717,                0.70764,                 1.0553,                0.33997,                  1.091,                 1.0808,                0.31632,                  1.074,               0.005743,               0.005743,               0.005743
                     46,                  1.008,                0.42966,                  1.072,                 1.0889,                0.38643,                 1.0618,                0.97756,                0.96196,                0.98647,                0.70725,                 1.0545,                0.34065,                  1.091,                 1.0814,                0.31678,                 1.0745,               0.005644,               0.005644,               0.005644
                     47,                 1.0134,                0.43143,                 1.0709,                 1.0908,                0.38866,                 1.0603,                0.97795,                0.96413,                0.98567,                 0.7077,                 1.0551,                0.34138,                 1.0909,                  1.083,                0.31582,                 1.0747,               0.005545,               0.005545,               0.005545
                     48,                 1.0067,                0.42998,                 1.0709,                  1.091,                0.38358,                 1.0586,                0.97906,                0.96538,                0.98724,                0.70793,                 1.0555,                0.34167,                  1.091,                 1.0839,                 0.3143,                 1.0758,               0.005446,               0.005446,               0.005446
                     49,                 1.0003,                0.42868,                 1.0696,                 1.0786,                0.38456,                 1.0541,                0.98118,                0.96329,                0.98497,                0.70713,                 1.0565,                0.34089,                 1.0919,                 1.0827,                0.31536,                 1.0753,               0.005347,               0.005347,               0.005347
                     50,                0.99729,                0.42485,                 1.0659,                  1.071,                0.38048,                 1.0518,                 0.9768,                0.96304,                0.98459,                0.70742,                 1.0568,                0.34009,                 1.0913,                 1.0812,                0.31622,                 1.0724,               0.005248,               0.005248,               0.005248
                     51,                0.99461,                0.42312,                 1.0653,                 1.0708,                0.37331,                 1.0533,                0.97722,                 0.9625,                0.98398,                0.70705,                 1.0579,                0.33931,                 1.0917,                 1.0834,                0.31553,                 1.0749,               0.005149,               0.005149,               0.005149
                     52,                0.99085,                0.42298,                 1.0656,                 1.0676,                0.38224,                 1.0517,                 0.9806,                0.96132,                0.98391,                0.70728,                 1.0581,                0.33786,                 1.0915,                 1.0815,                0.31705,                 1.0742,                0.00505,                0.00505,                0.00505
                     53,                 0.9934,                0.42086,                 1.0644,                   1.07,                0.37112,                 1.0519,                0.97636,                0.96501,                0.98502,                0.70781,                 1.0578,                 0.3371,                 1.0914,                 1.0825,                0.31427,                 1.0749,               0.004951,               0.004951,               0.004951
                     54,                0.99103,                0.41932,                 1.0637,                  1.063,                0.37648,                 1.0495,                0.98004,                0.96062,                0.98474,                0.70721,                 1.0574,                0.33658,                 1.0912,                 1.0816,                0.31619,                 1.0744,               0.004852,               0.004852,               0.004852
                     55,                0.98702,                0.41579,                 1.0638,                  1.062,                 0.3693,                 1.0509,                0.97533,                0.96696,                0.98464,                0.70661,                 1.0575,                0.33594,                 1.0912,                 1.0817,                0.31541,                 1.0749,               0.004753,               0.004753,               0.004753
                     56,                0.99038,                0.41759,                  1.063,                 1.0673,                0.36972,                 1.0487,                0.97599,                0.96522,                0.98543,                0.70626,                 1.0579,                0.33563,                 1.0915,                 1.0821,                 0.3141,                 1.0746,               0.004654,               0.004654,               0.004654
                     57,                 0.9806,                0.41207,                 1.0591,                 1.0529,                0.36421,                 1.0469,                0.97955,                0.96323,                0.98546,                 0.7065,                 1.0581,                0.33569,                 1.0916,                 1.0818,                 0.3137,                 1.0746,               0.004555,               0.004555,               0.004555
                     58,                0.97752,                0.41378,                 1.0583,                 1.0522,                0.37185,                 1.0442,                0.97848,                0.96364,                 0.9856,                0.70595,                 1.0586,                0.33548,                 1.0919,                 1.0824,                0.31172,                 1.0743,               0.004456,               0.004456,               0.004456
                     59,                0.97634,                0.40846,                 1.0554,                 1.0495,                0.36354,                 1.0419,                0.97903,                0.96412,                0.98551,                0.70576,                 1.0586,                0.33497,                 1.0917,                 1.0839,                0.31037,                 1.0745,               0.004357,               0.004357,               0.004357
                     60,                0.98031,                0.41259,                 1.0586,                 1.0515,                0.36778,                 1.0454,                0.97899,                0.96254,                0.98328,                0.70557,                  1.059,                0.33528,                 1.0918,                  1.084,                 0.3099,                 1.0744,               0.004258,               0.004258,               0.004258
                     61,                0.97421,                0.41001,                 1.0571,                 1.0442,                0.36256,                 1.0435,                0.97677,                0.96359,                0.98326,                0.70529,                  1.059,                0.33501,                 1.0918,                 1.0838,                0.31255,                 1.0743,               0.004159,               0.004159,               0.004159
                     62,                0.97373,                0.40684,                 1.0524,                 1.0436,                0.35912,                 1.0405,                0.98029,                0.96413,                0.98339,                0.70622,                 1.0588,                0.33437,                 1.0917,                 1.0845,                0.30985,                 1.0748,                0.00406,                0.00406,                0.00406
                     63,                0.97383,                0.40577,                 1.0561,                 1.0413,                0.35778,                 1.0408,                0.97735,                0.96467,                0.98339,                0.70583,                 1.0586,                0.33341,                 1.0916,                 1.0847,                0.31018,                 1.0752,               0.003961,               0.003961,               0.003961
                     64,                0.96921,                0.40283,                 1.0509,                 1.0413,                0.35238,                 1.0344,                0.97956,                 0.9639,                0.98358,                0.70564,                 1.0587,                0.33344,                 1.0916,                 1.0846,                0.30937,                 1.0752,               0.003862,               0.003862,               0.003862
                     65,                0.95965,                 0.4015,                 1.0473,                 1.0302,                0.35392,                 1.0309,                0.97838,                0.96359,                0.98351,                0.70636,                 1.0588,                0.33337,                 1.0916,                 1.0837,                0.31031,                 1.0748,               0.003763,               0.003763,               0.003763
                     66,                0.95772,                0.39809,                 1.0517,                 1.0245,                0.34852,                 1.0376,                0.97511,                0.96739,                 0.9834,                0.70584,                 1.0592,                0.33299,                 1.0916,                 1.0835,                0.31161,                 1.0742,               0.003664,               0.003664,               0.003664
                     67,                0.95632,                0.40008,                 1.0489,                 1.0218,                0.35058,                 1.0348,                0.97458,                0.96739,                0.98331,                0.70617,                 1.0592,                0.33297,                 1.0916,                 1.0843,                0.30829,                 1.0744,               0.003565,               0.003565,               0.003565
                     68,                 0.9533,                0.39686,                 1.0476,                 1.0211,                0.35082,                 1.0334,                0.97984,                0.96196,                0.98328,                 0.7059,                 1.0593,                0.33245,                 1.0919,                 1.0845,                0.30841,                 1.0743,               0.003466,               0.003466,               0.003466
                     69,                0.95074,                0.39315,                 1.0452,                 1.0162,                0.34491,                 1.0311,                0.98256,                0.96033,                0.98345,                0.70589,                 1.0594,                0.33224,                 1.0919,                 1.0842,                0.30766,                 1.0745,               0.003367,               0.003367,               0.003367
                     70,                0.94915,                0.39073,                 1.0456,                 1.0151,                 0.3422,                  1.032,                0.98355,                0.95924,                0.98362,                0.70526,                 1.0596,                0.33235,                 1.0918,                 1.0843,                0.30762,                 1.0745,               0.003268,               0.003268,               0.003268
                     71,                0.94207,                0.38631,                 1.0425,                 1.0069,                0.34277,                 1.0255,                 0.9833,                0.96023,                0.98362,                0.70559,                 1.0599,                0.33206,                 1.0921,                 1.0841,                0.30947,                 1.0747,               0.003169,               0.003169,               0.003169
                     72,                0.93957,                0.38955,                 1.0413,                 1.0025,                0.34018,                 1.0263,                0.98268,                0.96087,                0.98364,                0.70587,                   1.06,                0.33209,                 1.0923,                 1.0838,                0.30938,                 1.0746,                0.00307,                0.00307,                0.00307
                     73,                0.93891,                0.38648,                 1.0372,                 1.0045,                0.33959,                 1.0258,                0.97944,                0.96413,                0.98377,                0.70562,                   1.06,                 0.3317,                 1.0923,                 1.0838,                0.30887,                 1.0751,               0.002971,               0.002971,               0.002971
                     74,                0.93653,                0.38472,                  1.036,                 1.0021,                0.33679,                 1.0231,                 0.9801,                 0.9625,                 0.9838,                0.70582,                 1.0602,                0.33159,                 1.0924,                 1.0837,                0.30964,                 1.0752,               0.002872,               0.002872,               0.002872
                     75,                0.93344,                0.38493,                 1.0381,                0.99957,                0.34271,                 1.0258,                0.97746,                 0.9662,                0.98396,                0.70531,                 1.0603,                0.33151,                 1.0924,                 1.0841,                0.30986,                 1.0751,               0.002773,               0.002773,               0.002773
                     76,                0.93253,                0.38318,                 1.0367,                0.99626,                0.33845,                 1.0239,                0.97907,                0.96629,                0.98391,                0.70488,                 1.0607,                0.33109,                 1.0926,                 1.0848,                0.31091,                 1.0756,               0.002674,               0.002674,               0.002674
                     77,                0.92621,                0.37978,                 1.0353,                0.98813,                0.33351,                 1.0217,                0.97803,                0.96795,                0.98431,                0.70483,                 1.0611,                0.33145,                 1.0929,                 1.0851,                0.31151,                 1.0757,               0.002575,               0.002575,               0.002575
                     78,                0.92215,                0.37939,                 1.0337,                0.98474,                0.33359,                 1.0194,                0.97867,                0.96576,                0.98443,                0.70539,                 1.0612,                0.33108,                 1.0928,                 1.0855,                0.31018,                 1.0765,               0.002476,               0.002476,               0.002476
                     79,                0.92124,                0.37598,                   1.03,                0.98285,                 0.3324,                 1.0149,                0.97811,                0.96739,                 0.9845,                 0.7057,                 1.0614,                0.33099,                  1.093,                 1.0853,                0.31103,                 1.0767,               0.002377,               0.002377,               0.002377
                     80,                0.92045,                0.37599,                 1.0298,                0.98114,                0.33236,                 1.0134,                0.98196,                0.96359,                0.98463,                0.70569,                 1.0617,                0.33116,                 1.0932,                 1.0854,                0.31071,                 1.0768,               0.002278,               0.002278,               0.002278
