                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2191,                 1.3492,                  1.198,                 1.2626,                 4.1836,                 1.1604,                0.86029,                0.80815,                0.89186,                0.56272,                 1.2326,                0.72951,                 1.1962,                 1.2927,                 1.0365,                 1.1941,             0.00066609,             0.00066609,             0.00066609
                      2,                 1.2072,                0.68172,                 1.1942,                 1.2971,                0.77443,                 1.1951,                0.92211,                0.83098,                0.92892,                0.61739,                 1.1812,                0.59117,                  1.176,                 1.2412,                0.60975,                 1.1809,              0.0012008,              0.0012008,              0.0012008
                      3,                 1.1755,                0.62487,                 1.1899,                 1.2674,                0.63161,                  1.183,                0.94349,                0.88931,                0.95144,                0.63146,                 1.1739,                0.56371,                 1.1799,                 1.2388,                0.52113,                 1.1766,              0.0016035,              0.0016035,              0.0016035
                      4,                 1.1551,                0.58045,                 1.1772,                 1.2423,                0.55552,                 1.1819,                0.95012,                0.91092,                0.96028,                0.65196,                 1.1495,                0.52048,                 1.1672,                 1.2045,                0.46876,                 1.1726,               0.001406,               0.001406,               0.001406
                      5,                  1.134,                0.55043,                 1.1713,                 1.2169,                0.52563,                   1.17,                0.92998,                0.89565,                0.95641,                0.64666,                 1.1493,                0.53102,                 1.1589,                 1.2028,                 0.4663,                 1.1494,               0.001406,               0.001406,               0.001406
                      6,                  1.118,                0.51997,                 1.1636,                 1.1945,                0.48563,                 1.1581,                0.95384,                0.92083,                0.96647,                0.66658,                 1.1198,                0.50176,                 1.1438,                 1.1682,                0.43866,                 1.1363,               0.001208,               0.001208,               0.001208
                      7,                 1.0975,                 0.4966,                 1.1477,                 1.1696,                0.44088,                 1.1358,                0.95539,                0.93122,                0.97021,                0.66941,                 1.1094,                0.46057,                 1.1336,                 1.1504,                0.40703,                 1.1252,                0.00101,                0.00101,                0.00101
                      8,                 1.0799,                0.47259,                 1.1408,                  1.147,                0.42273,                  1.125,                0.97379,                0.92866,                 0.9762,                0.69106,                 1.0829,                0.43966,                 1.1119,                 1.1226,                0.38644,                  1.101,               0.000812,               0.000812,               0.000812
                      9,                 1.0637,                0.45024,                 1.1271,                 1.1235,                0.39162,                 1.1062,                0.97782,                0.93043,                0.97763,                 0.6907,                 1.0767,                0.43792,                 1.1153,                 1.1214,                 0.3701,                 1.1012,               0.000614,               0.000614,               0.000614
                     10,                 1.0498,                0.43001,                 1.1165,                 1.1043,                0.37774,                 1.0963,                0.96772,                  0.945,                0.98067,                0.69076,                 1.0846,                0.42161,                 1.1176,                 1.1155,                0.36818,                 1.1015,               0.000416,               0.000416,               0.000416
