                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0799,                0.48534,                 1.1454,                 1.2038,                0.45261,                  1.172,                0.96865,                   0.95,                0.97807,                0.68852,                 1.0672,                0.39754,                 1.2009,                 1.1152,                0.34178,                 1.2188,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.0777,                0.48451,                 1.1442,                 1.2041,                0.45717,                 1.1697,                0.97291,                 0.9413,                0.97579,                0.68421,                 1.0708,                0.39367,                 1.1768,                 1.1208,                0.33975,                 1.1961,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.0749,                0.48301,                 1.1501,                 1.1955,                 0.4468,                 1.1697,                0.97474,                 0.9439,                0.97907,                0.69288,                 1.0629,                 0.3918,                 1.1957,                 1.1073,                0.33856,                  1.202,               0.009505,               0.009505,               0.009505
                     28,                 1.0778,                0.48558,                  1.146,                 1.1968,                0.44616,                 1.1718,                0.97912,                 0.9431,                0.97604,                 0.6905,                 1.0622,                 0.3935,                  1.192,                 1.1083,                 0.3352,                 1.2167,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.0751,                 0.4798,                 1.1386,                 1.1976,                0.44483,                  1.165,                0.97952,                 0.9356,                0.97664,                 0.6901,                 1.0588,                0.38704,                 1.1661,                 1.1031,                0.33709,                 1.1933,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.0711,                0.48132,                 1.1369,                 1.1903,                0.44342,                  1.166,                0.97957,                0.93814,                0.97834,                0.68989,                 1.0591,                0.38408,                 1.1743,                 1.1044,                0.33418,                  1.203,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.0699,                0.47719,                  1.141,                 1.1885,                0.43641,                 1.1657,                0.96959,                0.95435,                0.98029,                0.69344,                 1.0609,                0.37868,                 1.1861,                 1.1054,                0.32546,                 1.2051,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.0661,                0.47552,                 1.1446,                 1.1864,                0.44587,                 1.1652,                0.98582,                0.94426,                0.98047,                0.69173,                 1.0601,                0.38269,                 1.1948,                 1.1065,                0.32665,                 1.2085,               0.009406,               0.009406,               0.009406
                     33,                  1.065,                0.47263,                 1.1452,                 1.1837,                0.43465,                 1.1629,                0.97979,                0.94877,                0.97996,                0.69419,                 1.0597,                0.37368,                 1.2044,                  1.102,                0.32921,                 1.2114,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.0631,                 0.4735,                 1.1452,                 1.1793,                0.42948,                 1.1642,                0.98061,                 0.9538,                0.97938,                0.69439,                 1.0633,                0.37323,                 1.2078,                 1.1046,                0.32151,                 1.2151,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.0614,                 0.4727,                 1.1388,                 1.1775,                0.42594,                 1.1566,                0.98167,                   0.95,                 0.9792,                0.69226,                 1.0645,                0.37384,                 1.1962,                 1.1055,                0.32176,                 1.2042,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.0572,                0.47184,                 1.1402,                 1.1732,                0.42497,                 1.1611,                0.98146,                0.94947,                0.97934,                0.69338,                 1.0619,                0.37425,                 1.1949,                 1.1034,                0.31991,                 1.2035,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.0578,                0.46743,                 1.1397,                 1.1696,                0.43022,                 1.1591,                0.98202,                0.94977,                0.97891,                0.69545,                 1.0598,                0.37365,                 1.1951,                 1.1036,                0.31749,                  1.205,               0.009307,               0.009307,               0.009307
                     38,                 1.0624,                0.47459,                 1.1409,                 1.1766,                0.43132,                 1.1629,                0.97829,                0.95054,                0.97789,                0.69433,                 1.0602,                0.37309,                 1.1985,                 1.1029,                0.32055,                 1.2095,              0.0092872,              0.0092872,              0.0092872
                     39,                  1.054,                0.46958,                  1.132,                 1.1665,                0.42273,                  1.154,                0.97609,                0.95398,                 0.9781,                0.69456,                 1.0582,                0.37306,                 1.1868,                 1.0974,                0.32543,                 1.2016,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.0582,                0.46486,                 1.1352,                 1.1724,                0.41869,                 1.1529,                0.97408,                0.95163,                0.97933,                0.69775,                 1.0547,                0.36963,                 1.1775,                 1.0947,                0.32243,                  1.193,              0.0092476,              0.0092476,              0.0092476
                     41,                  1.047,                0.45923,                 1.1262,                  1.159,                0.41223,                 1.1447,                0.98098,                0.95325,                0.98002,                0.69742,                 1.0562,                0.36876,                  1.179,                 1.0961,                0.32149,                 1.1947,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.0523,                0.46321,                 1.1378,                 1.1632,                0.42207,                  1.155,                0.98155,                0.95423,                0.98047,                0.69656,                 1.0585,                0.36674,                 1.1912,                 1.1005,                 0.3188,                 1.2017,               0.009208,               0.009208,               0.009208
                     43,                 1.0541,                0.46503,                 1.1425,                 1.1649,                 0.4204,                 1.1605,                0.98054,                0.95848,                0.98087,                0.69821,                 1.0602,                0.36637,                 1.1983,                 1.0992,                0.31711,                 1.2044,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.0511,                0.46429,                  1.129,                 1.1652,                0.41731,                 1.1481,                 0.9763,                0.95489,                 0.9807,                0.69732,                 1.0582,                0.36528,                 1.1883,                 1.0976,                0.31996,                 1.1966,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.0492,                0.45746,                 1.1303,                 1.1606,                0.41175,                 1.1467,                0.97882,                0.95652,                0.98065,                0.69695,                 1.0588,                0.36668,                 1.1848,                 1.0985,                0.31978,                 1.1955,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.0456,                0.45722,                 1.1366,                 1.1559,                0.41176,                 1.1538,                 0.9746,                0.95924,                0.98009,                0.69603,                 1.0586,                0.36575,                  1.186,                 1.0985,                0.32131,                 1.1954,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.0455,                0.45699,                 1.1259,                 1.1586,                 0.4126,                 1.1434,                0.97997,                0.95732,                0.98026,                0.69604,                 1.0584,                0.36587,                 1.1837,                 1.0985,                0.32261,                 1.1922,               0.009109,               0.009109,               0.009109
                     48,                 1.0471,                0.45986,                 1.1351,                 1.1597,                0.41486,                 1.1525,                0.97553,                0.95336,                0.97958,                0.69648,                 1.0572,                0.36562,                 1.1845,                 1.0977,                0.32697,                 1.1937,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.0419,                0.45836,                 1.1337,                 1.1541,                0.41022,                 1.1511,                0.97562,                0.95978,                0.98021,                0.69888,                 1.0571,                0.36447,                  1.188,                 1.0981,                 0.3224,                 1.1968,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.0379,                0.45554,                 1.1269,                 1.1495,                0.41101,                  1.143,                0.98267,                0.95516,                0.98046,                0.69763,                 1.0563,                0.36377,                 1.1881,                 1.0985,                0.31893,                 1.1963,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.0372,                 0.4546,                 1.1238,                 1.1479,                0.40931,                 1.1399,                0.98109,                0.95877,                0.98056,                0.69641,                 1.0559,                0.36305,                 1.1846,                 1.0986,                0.31778,                 1.1935,              0.0090298,              0.0090298,              0.0090298
                     52,                  1.037,                0.45401,                 1.1316,                  1.149,                0.40733,                 1.1455,                0.98007,                0.96221,                0.98066,                0.69804,                 1.0548,                0.36221,                 1.1845,                 1.0982,                0.31702,                 1.1928,                0.00901,                0.00901,                0.00901
                     53,                 1.0395,                0.45128,                 1.1295,                 1.1502,                0.40367,                 1.1443,                0.97958,                0.95978,                0.98046,                 0.6976,                 1.0551,                0.36212,                 1.1832,                 1.0981,                0.31684,                 1.1918,              0.0089902,              0.0089902,              0.0089902
                     54,                  1.038,                0.45221,                 1.1322,                 1.1511,                0.41259,                 1.1447,                0.98318,                0.95302,                0.97973,                 0.6973,                 1.0559,                0.36091,                 1.1835,                  1.098,                0.31881,                 1.1918,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.0337,                0.45126,                 1.1234,                 1.1418,                0.41063,                 1.1396,                0.97946,                0.95868,                0.98015,                 0.6974,                 1.0564,                0.36094,                 1.1826,                 1.0977,                0.31488,                 1.1904,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.0422,                0.45526,                 1.1333,                 1.1525,                0.40667,                 1.1486,                0.98108,                0.95815,                0.98066,                0.69882,                 1.0557,                0.36097,                 1.1827,                 1.0961,                0.31576,                 1.1901,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.0393,                0.44997,                 1.1314,                 1.1432,                 0.4023,                 1.1448,                0.98327,                0.95834,                0.98066,                0.69909,                 1.0558,                 0.3609,                 1.1829,                 1.0944,                0.31372,                 1.1894,               0.008911,               0.008911,               0.008911
                     58,                  1.028,                0.44912,                 1.1248,                  1.141,                0.40987,                 1.1406,                0.98274,                0.95922,                0.98186,                0.69874,                 1.0554,                0.36021,                 1.1837,                  1.094,                0.31253,                 1.1889,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.0313,                0.44819,                 1.1255,                 1.1401,                0.40514,                 1.1409,                0.98101,                 0.9587,                0.98166,                0.69862,                 1.0554,                0.36008,                 1.1836,                 1.0936,                0.31484,                 1.1886,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.0379,                0.45301,                 1.1296,                 1.1437,                0.41007,                 1.1454,                0.97355,                 0.9625,                0.98131,                 0.6989,                 1.0556,                0.35978,                 1.1836,                 1.0945,                0.31714,                 1.1881,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.0321,                 0.4503,                  1.124,                 1.1393,                0.40755,                 1.1364,                0.97093,                0.96208,                0.98097,                0.69934,                 1.0553,                0.35957,                 1.1834,                 1.0938,                 0.3176,                 1.1876,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.0328,                0.44998,                 1.1164,                  1.143,                0.41254,                 1.1305,                0.97675,                0.95873,                0.98152,                0.69898,                 1.0552,                0.35862,                 1.1823,                 1.0939,                0.31702,                 1.1865,               0.008812,               0.008812,               0.008812
                     63,                 1.0304,                 0.4474,                 1.1259,                 1.1378,                 0.4031,                 1.1419,                 0.9762,                0.95854,                0.98136,                0.69929,                 1.0547,                0.35873,                 1.1824,                  1.094,                0.31771,                  1.187,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.0309,                0.44783,                 1.1231,                 1.1383,                0.40525,                 1.1413,                0.97676,                0.95931,                0.98154,                0.69891,                 1.0544,                0.35742,                 1.1825,                 1.0934,                0.31763,                 1.1866,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.0252,                0.44835,                 1.1231,                 1.1334,                0.40493,                  1.139,                0.97622,                0.95958,                0.98149,                0.69909,                  1.054,                0.35697,                  1.183,                 1.0934,                 0.3183,                 1.1868,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.0226,                  0.445,                  1.132,                 1.1286,                0.40507,                 1.1474,                0.97948,                0.95997,                0.98159,                0.69957,                 1.0538,                0.35731,                 1.1843,                 1.0931,                0.31699,                 1.1874,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.0264,                0.44629,                 1.1306,                  1.133,                0.40376,                 1.1458,                0.97567,                0.95907,                0.98134,                0.69899,                 1.0535,                 0.3575,                 1.1853,                 1.0931,                0.31983,                 1.1882,               0.008713,               0.008713,               0.008713
                     68,                 1.0223,                0.44312,                 1.1298,                 1.1293,                0.40464,                  1.142,                0.97604,                0.95978,                0.98151,                0.69956,                 1.0536,                0.35706,                 1.1863,                  1.093,                0.31832,                 1.1904,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.0228,                0.44411,                 1.1213,                 1.1295,                0.40417,                 1.1327,                0.97695,                0.95761,                0.98104,                0.70026,                 1.0533,                0.35715,                  1.186,                  1.093,                0.32039,                 1.1891,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.0223,                0.44391,                  1.128,                 1.1292,                0.40215,                 1.1394,                0.97858,                0.95978,                0.98179,                0.69992,                 1.0533,                0.35702,                 1.1864,                 1.0935,                0.31664,                 1.1895,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.0201,                0.44191,                 1.1271,                 1.1248,                0.39319,                 1.1422,                0.97701,                 0.9587,                0.98158,                0.69968,                 1.0529,                 0.3567,                 1.1869,                 1.0935,                0.31792,                 1.1901,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.0189,                0.44318,                 1.1194,                 1.1212,                0.39589,                 1.1358,                 0.9771,                0.95761,                0.98166,                0.69934,                  1.053,                0.35617,                  1.187,                 1.0936,                0.31734,                 1.1905,               0.008614,               0.008614,               0.008614
                     73,                 1.0187,                0.44122,                 1.1192,                 1.1237,                0.39515,                 1.1353,                0.97678,                 0.9604,                0.98153,                0.69949,                 1.0531,                0.35621,                 1.1871,                 1.0933,                0.31625,                 1.1911,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.0187,                  0.443,                  1.118,                 1.1285,                0.40266,                 1.1345,                0.98053,                0.95797,                0.98159,                0.69913,                 1.0531,                0.35555,                 1.1873,                 1.0929,                0.31752,                 1.1908,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.0149,                0.43932,                 1.1225,                 1.1217,                0.39931,                 1.1359,                0.98001,                0.95941,                0.98158,                0.70002,                 1.0532,                 0.3556,                 1.1878,                 1.0931,                0.31585,                  1.192,              0.0085546,              0.0085546,              0.0085546
                     76,                  1.023,                0.44339,                 1.1166,                 1.1301,                0.39948,                  1.131,                 0.9781,                 0.9587,                 0.9814,                0.69946,                  1.053,                0.35498,                 1.1881,                  1.093,                0.31733,                 1.1915,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.0162,                0.43783,                 1.1199,                 1.1234,                0.40109,                 1.1358,                0.97751,                0.95978,                 0.9814,                 0.6989,                  1.053,                0.35473,                 1.1885,                 1.0928,                 0.3176,                 1.1919,               0.008515,               0.008515,               0.008515
                     78,                 1.0139,                 0.4392,                 1.1121,                 1.1201,                0.39552,                  1.128,                0.97897,                 0.9587,                 0.9813,                0.69887,                 1.0531,                0.35465,                 1.1878,                 1.0925,                0.31835,                 1.1912,              0.0084952,              0.0084952,              0.0084952
                     79,                  1.014,                0.43665,                 1.1103,                 1.1251,                0.39885,                 1.1282,                0.98013,                 0.9587,                0.98095,                0.69915,                 1.0532,                 0.3544,                 1.1874,                 1.0923,                0.31752,                 1.1905,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.0171,                0.43888,                 1.1183,                 1.1272,                0.39731,                 1.1347,                0.97971,                0.95978,                0.98024,                0.69914,                 1.0531,                0.35443,                 1.1872,                 1.0922,                0.31833,                 1.1908,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.0244,                0.44135,                 1.1256,                 1.1314,                0.39658,                  1.142,                0.97926,                0.96087,                0.98038,                 0.6988,                 1.0527,                0.35414,                 1.1872,                 1.0926,                0.31695,                 1.1909,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.0123,                0.43864,                 1.1046,                 1.1181,                0.39311,                 1.1219,                0.97892,                0.95895,                0.98036,                0.69904,                 1.0525,                0.35329,                 1.1864,                 1.0923,                0.31723,                 1.1903,               0.008416,               0.008416,               0.008416
                     83,                 1.0145,                0.43851,                    1.1,                 1.1192,                 0.3912,                 1.1187,                0.97718,                0.96033,                0.98043,                 0.6981,                 1.0526,                0.35361,                  1.185,                 1.0921,                0.31656,                 1.1884,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.0135,                0.43556,                 1.1099,                 1.1174,                0.39687,                 1.1244,                0.97869,                0.95924,                0.98097,                0.69857,                 1.0527,                 0.3535,                 1.1846,                 1.0919,                0.31404,                 1.1879,              0.0083764,              0.0083764,              0.0083764
                     85,                  1.013,                0.43804,                 1.1217,                 1.1159,                0.38993,                 1.1349,                0.97517,                0.96039,                0.98087,                0.69877,                 1.0527,                0.35316,                 1.1848,                 1.0916,                0.31523,                 1.1886,              0.0083566,              0.0083566,              0.0083566
                     86,                   1.01,                 0.4331,                 1.1155,                 1.1132,                0.38462,                 1.1284,                0.97729,                 0.9591,                0.98101,                0.69943,                  1.053,                0.35303,                 1.1849,                 1.0914,                0.31397,                 1.1877,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.0103,                 0.4351,                 1.1103,                 1.1184,                0.39309,                 1.1223,                0.97676,                0.95935,                0.98097,                0.69925,                 1.0533,                0.35295,                 1.1847,                 1.0916,                0.31346,                 1.1877,               0.008317,               0.008317,               0.008317
                     88,                 1.0071,                0.43496,                 1.1065,                 1.1054,                0.39152,                 1.1204,                0.97414,                0.96229,                 0.9808,                0.69856,                 1.0534,                0.35292,                 1.1839,                 1.0917,                0.31479,                 1.1873,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.0086,                0.43426,                 1.1165,                 1.1098,                0.39356,                 1.1271,                0.98066,                0.95761,                0.98083,                0.69951,                 1.0533,                0.35251,                 1.1836,                 1.0915,                0.31454,                 1.1869,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.0086,                0.43389,                 1.1059,                  1.112,                 0.3942,                 1.1206,                0.97196,                0.96084,                0.98087,                0.69942,                 1.0535,                0.35225,                 1.1827,                 1.0914,                0.31623,                 1.1856,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.0033,                0.42997,                 1.1155,                 1.1079,                0.38945,                 1.1303,                0.97846,                0.95652,                0.98086,                0.69892,                 1.0536,                 0.3519,                 1.1829,                 1.0915,                0.31695,                 1.1858,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.0064,                0.43161,                 1.1133,                 1.1117,                 0.3854,                 1.1266,                0.98156,                0.95707,                 0.9811,                0.69939,                 1.0539,                0.35184,                 1.1831,                 1.0914,                0.31519,                 1.1858,               0.008218,               0.008218,               0.008218
                     93,                 1.0063,                0.43286,                 1.1117,                 1.1139,                0.39199,                  1.128,                0.97997,                0.95738,                0.98117,                0.69994,                 1.0536,                0.35192,                 1.1828,                 1.0916,                0.31378,                 1.1858,              0.0081982,              0.0081982,              0.0081982
                     94,                 1.0087,                 0.4339,                 1.1172,                 1.1155,                0.39457,                 1.1301,                0.97834,                0.95815,                0.98109,                0.69988,                 1.0541,                0.35218,                 1.1833,                 1.0917,                0.31479,                 1.1857,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.0047,                0.43252,                 1.1111,                 1.1083,                0.39093,                 1.1242,                0.97851,                0.95652,                  0.981,                0.70015,                 1.0542,                0.35196,                 1.1833,                 1.0921,                0.31578,                 1.1865,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.0053,                0.43386,                 1.1107,                 1.1085,                0.39042,                  1.123,                0.97936,                0.95416,                0.98094,                0.70006,                 1.0542,                0.35195,                 1.1832,                 1.0923,                0.31657,                  1.186,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.0137,                 0.4344,                 1.1159,                 1.1193,                0.39113,                 1.1298,                0.97818,                0.95815,                0.98118,                0.70023,                 1.0538,                0.35164,                 1.1833,                 1.0919,                0.31441,                 1.1861,               0.008119,               0.008119,               0.008119
                     98,                0.99938,                0.42963,                 1.1073,                 1.1065,                0.39036,                 1.1217,                0.98051,                0.95704,                0.98097,                0.69918,                  1.054,                0.35133,                 1.1837,                 1.0919,                0.31463,                 1.1868,              0.0080992,              0.0080992,              0.0080992
                     99,                0.99964,                0.43174,                 1.1081,                 1.1028,                0.39031,                 1.1216,                0.97892,                0.95906,                 0.9812,                0.69864,                 1.0542,                0.35132,                 1.1835,                 1.0915,                0.31364,                 1.1866,              0.0080794,              0.0080794,              0.0080794
                    100,                0.99894,                0.42961,                 1.1099,                 1.1021,                0.38976,                 1.1195,                  0.978,                0.95978,                0.98122,                0.69936,                  1.054,                0.35138,                 1.1835,                  1.092,                0.31357,                 1.1867,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.0024,                0.42965,                 1.1108,                 1.1055,                 0.3872,                 1.1217,                0.98217,                0.95822,                0.98106,                0.69987,                  1.054,                0.35116,                  1.183,                  1.092,                0.31303,                 1.1859,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.0014,                0.42839,                 1.1089,                 1.1042,                0.38618,                 1.1189,                0.97559,                0.95924,                0.98104,                0.69992,                 1.0539,                0.35128,                 1.1824,                 1.0922,                0.31469,                  1.186,                0.00802,                0.00802,                0.00802
                    103,                 1.0043,                0.42978,                 1.1112,                 1.1071,                0.38624,                 1.1239,                0.97864,                 0.9587,                0.98062,                0.69981,                 1.0539,                0.35143,                 1.1824,                 1.0922,                0.31359,                  1.186,              0.0080002,              0.0080002,              0.0080002
                    104,                0.99926,                0.43184,                  1.103,                 1.1067,                0.39286,                 1.1181,                0.97569,                0.95815,                0.98103,                0.69957,                 1.0539,                0.35159,                 1.1819,                 1.0923,                0.31472,                 1.1848,              0.0079804,              0.0079804,              0.0079804
                    105,                0.99639,                0.42786,                 1.1059,                 1.0977,                0.39581,                 1.1179,                0.97524,                0.96332,                0.98134,                0.70012,                  1.054,                0.35172,                 1.1819,                 1.0929,                0.31292,                 1.1848,              0.0079606,              0.0079606,              0.0079606
                    106,                0.99933,                0.42875,                  1.108,                 1.1006,                0.39349,                 1.1199,                0.97619,                0.95707,                 0.9809,                0.69929,                 1.0542,                0.35155,                 1.1821,                 1.0932,                0.31482,                 1.1851,              0.0079408,              0.0079408,              0.0079408
