                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2312,                 1.3342,                 1.2209,                 1.2741,                 2.5394,                 1.1563,                0.81341,                0.84457,                0.89056,                0.57944,                 1.1506,                0.94936,                 1.0928,                 1.2362,                 1.2042,                 1.0988,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.2105,                0.82943,                 1.1319,                  1.352,                0.95262,                 1.1695,                0.88157,                0.85769,                0.92405,                0.60007,                 1.1762,                0.72551,                 1.1144,                 1.2784,                 0.6774,                 1.1452,              0.0066506,              0.0066506,              0.0066506
                      3,                 1.2409,                0.76199,                 1.1539,                 1.4184,                0.83508,                 1.2318,                0.87399,                0.83315,                0.90705,                0.56553,                 1.2358,                0.70208,                 1.1546,                 1.3277,                 0.7427,                 1.2246,              0.0099575,              0.0099575,              0.0099575
                      4,                 1.2406,                0.70911,                 1.1768,                 1.4224,                0.75247,                 1.2511,                0.93076,                0.86938,                0.93662,                0.61928,                 1.1667,                0.62857,                 1.1132,                 1.2464,                0.59387,                 1.1975,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.205,                 0.6454,                 1.1774,                 1.3752,                0.65173,                 1.2392,                0.95511,                0.87609,                0.94945,                0.63179,                 1.1255,                0.56018,                 1.1458,                 1.2243,                0.48096,                 1.2061,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1781,                0.61464,                 1.1766,                 1.3417,                0.59675,                 1.2323,                 0.9448,                0.89293,                0.94802,                0.63341,                 1.1408,                0.53527,                 1.1685,                 1.2176,                0.47841,                 1.2254,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1659,                0.59394,                 1.1735,                 1.3201,                  0.589,                 1.2215,                0.94501,                0.91576,                0.95616,                0.63934,                 1.1377,                0.51954,                 1.2157,                 1.2189,                0.43586,                 1.2836,               0.009901,               0.009901,               0.009901
                      8,                 1.1571,                0.57465,                  1.173,                 1.3068,                0.55236,                 1.2117,                0.94333,                0.91739,                0.95801,                0.64392,                 1.1361,                0.48542,                 1.1865,                 1.2009,                0.43889,                 1.2175,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.1442,                0.56387,                 1.1676,                 1.2875,                0.54166,                 1.2015,                0.95339,                0.91522,                0.95607,                 0.6476,                 1.1156,                0.49184,                  1.183,                 1.1795,                0.43434,                 1.2111,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.1402,                0.55338,                 1.1661,                 1.2806,                0.53132,                  1.201,                0.95226,                0.91064,                0.95851,                0.65002,                 1.1112,                0.48893,                 1.1961,                 1.1848,                 0.4355,                   1.25,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.1308,                0.54646,                 1.1611,                 1.2698,                0.51576,                 1.2001,                0.95443,                 0.9334,                0.96428,                0.65414,                 1.1105,                0.48136,                 1.1861,                 1.1761,                0.39817,                 1.2118,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.1252,                0.53815,                 1.1628,                 1.2694,                0.52536,                 1.1962,                0.94348,                 0.9212,                0.96234,                0.64433,                 1.1047,                0.46647,                 1.1791,                 1.1851,                0.42946,                 1.2176,               0.009802,               0.009802,               0.009802
                     13,                 1.1189,                0.53159,                 1.1581,                 1.2545,                0.50586,                 1.1912,                 0.9644,                0.92663,                 0.9687,                0.66526,                 1.0906,                0.45785,                 1.1845,                 1.1538,                0.39718,                 1.2054,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1134,                0.52324,                  1.164,                 1.2448,                0.50377,                 1.1897,                0.94346,                0.92554,                0.96188,                0.65947,                 1.0898,                0.44961,                 1.1801,                 1.1477,                0.41295,                 1.2106,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.1107,                 0.5222,                 1.1529,                 1.2364,                0.49679,                 1.1839,                0.96501,                0.92934,                  0.971,                0.67091,                 1.0873,                0.44944,                  1.173,                 1.1486,                0.37331,                 1.2145,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.1038,                0.51281,                 1.1568,                 1.2345,                0.49856,                 1.1843,                0.97746,                0.91907,                0.97235,                0.67355,                 1.0896,                0.43132,                 1.2031,                  1.139,                0.37791,                 1.2106,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.1002,                0.50936,                  1.152,                 1.2273,                0.47891,                 1.1776,                0.96235,                0.94462,                0.97338,                0.66725,                 1.0878,                0.42738,                 1.1816,                 1.1479,                0.36901,                 1.2164,               0.009703,               0.009703,               0.009703
                     18,                  1.095,                0.50545,                 1.1513,                 1.2206,                0.47611,                 1.1794,                0.95424,                0.94063,                0.97008,                0.67598,                 1.0868,                0.43158,                 1.1901,                 1.1425,                0.37257,                 1.2058,              0.0096832,              0.0096832,              0.0096832
                     19,                  1.099,                0.50402,                 1.1649,                 1.2211,                0.47621,                 1.1856,                0.96339,                0.93804,                0.97147,                0.67819,                 1.0847,                0.41879,                  1.209,                 1.1292,                0.36518,                   1.21,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.0953,                0.50259,                 1.1519,                 1.2156,                0.46826,                 1.1674,                0.95775,                0.94674,                 0.9712,                 0.6751,                 1.0748,                0.42304,                   1.19,                 1.1235,                0.35806,                 1.1901,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.0836,                 0.4977,                 1.1431,                 1.2056,                0.46709,                 1.1642,                0.96683,                0.94185,                0.97483,                0.68306,                 1.0731,                0.41512,                 1.1811,                 1.1188,                0.35716,                 1.1766,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.0918,                0.49748,                 1.1556,                 1.2147,                0.46119,                 1.1755,                0.97976,                 0.9413,                0.97465,                0.68427,                 1.0651,                0.40325,                 1.2072,                 1.1146,                0.34838,                 1.2138,               0.009604,               0.009604,               0.009604
                     23,                 1.0793,                0.49603,                 1.1451,                  1.206,                0.46393,                 1.1699,                0.96831,                0.94669,                0.97578,                0.67869,                 1.0721,                 0.4046,                 1.1817,                 1.1209,                0.35509,                 1.2136,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.0801,                0.48961,                 1.1478,                 1.2086,                0.45665,                 1.1744,                0.97208,                0.94606,                0.97574,                0.68134,                 1.0718,                0.40366,                 1.1933,                 1.1217,                0.35581,                 1.2178,              0.0095644,              0.0095644,              0.0095644
